"SynchronousMachine:
ID","SynchronousMachine:
InternalId","SynchronousMachine:
Name","SynchronousMachine:
Parent","SynchronousMachine:
ObjectType","ReactiveCapabilityCurve:
Path","ReactiveCapabilityCurve:
InternalId","ReactiveCapabilityCurve:
Name","SynchronousMachine:
ReactiveCapabilityCurveMemberOfSynchronousMachine:
ReactiveCapabilityCurve:
ID","ReactiveCapabilityCurve:
Parent","ReactiveCapabilityCurve:
ObjectType"
_664f0aca-8d2c-449c-b816-16bc8e833c22,870136,UN-02,_4053c710-4d91-4b06-9b15-22cd0b338458,SynchronousMachine,Network/.MVAr Capability Curves/01TUL-U2,870894,01TUL-U2,_fe40eb6e-4c4a-4b6a-8a63-127441c850d6,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_3229fcae-9a34-4b56-bc62-c5c78c379525,870138,UN-03,_4053c710-4d91-4b06-9b15-22cd0b338458,SynchronousMachine,Network/.MVAr Capability Curves/01TUL-U3,870900,01TUL-U3,_70e35e7e-9b1e-4cd2-a21b-5474e993d9bb,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_4aea32b3-1c5a-4515-9b2e-9c3a3aa74672,870140,UN-04,_4053c710-4d91-4b06-9b15-22cd0b338458,SynchronousMachine,Network/.MVAr Capability Curves/01TUL-U4,870906,01TUL-U4,_b9ad77eb-34dd-4565-b71b-4614cb7ca4c0,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_a868e085-d75b-413f-9e8d-ec4a8e0b26f4,870142,UN-05,_4053c710-4d91-4b06-9b15-22cd0b338458,SynchronousMachine,Network/.MVAr Capability Curves/01TUL-U5,870912,01TUL-U5,_386c8481-e2ac-4c58-a585-b6e9d0e2cea0,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_4ec5ddc1-bcf6-4a5e-9bb2-490cb2049409,872426,UN-05,_1e52b565-b7af-44d1-a71b-6d82f4ee4478,SynchronousMachine,Network/.MVAr Capability Curves/01VAE-U5,873118,01VAE-U5,_5b9f2f6a-4ba9-4cd8-ae00-a1ecef8b3f45,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_3cc31627-500c-45e5-ac4b-a9c9bc5c1cd0,872428,UN-06,_1e52b565-b7af-44d1-a71b-6d82f4ee4478,SynchronousMachine,Network/.MVAr Capability Curves/01VAE-U6,873124,01VAE-U6,_2ccab2a1-7f6e-40ba-9451-63a0f3e463df,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_c603ba47-8f1a-4bbe-95a9-e187f27b403f,872430,UN-07,_1e52b565-b7af-44d1-a71b-6d82f4ee4478,SynchronousMachine,Network/.MVAr Capability Curves/01VAE-U7,873130,01VAE-U7,_16986071-91f5-445e-bd8c-d2fc094fa6cd,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_da93637d-a6b9-4e3f-9f40-0f53d7d1b906,872473,UN-03,_cdc419ec-c126-4b1d-a6a4-bfeb25d81c11,SynchronousMachine,Network/.MVAr Capability Curves/01VAE-U3,873451,01VAE-U3,_2a69261e-ef83-461c-b8b2-34f46c3b3166,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_d3c9d453-4332-4ed8-ab14-b48cd2e0ba56,872527,UNPQ2,_7235d2d0-e1d5-488a-b995-617508becd27,SynchronousMachine,Network/.MVAr Capability Curves/01VAE-PQ2,873659,01VAE-PQ2,_26ecb07a-374f-418b-b8d3-a3c955cd1230,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_06be53f1-fcef-451d-a290-3248ce7e9582,872529,UN-10,_7235d2d0-e1d5-488a-b995-617508becd27,SynchronousMachine,Network/.MVAr Capability Curves/01VAE-U10,873665,01VAE-U10,_fd96fd3a-1e72-4d1d-ab65-09d40fa68675,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_1420715f-b0d8-4bf6-bf42-580574d79996,872531,UN-08,_7235d2d0-e1d5-488a-b995-617508becd27,SynchronousMachine,Network/.MVAr Capability Curves/01VAE-U8,873671,01VAE-U8,_c82eed78-1c14-4686-be52-6413b85efeda,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_8fc9732a-3370-4909-b23d-d4088a9dda27,872533,UN-09,_7235d2d0-e1d5-488a-b995-617508becd27,SynchronousMachine,Network/.MVAr Capability Curves/01VAE-U9,873677,01VAE-U9,_c8fbd039-5499-46e4-88c8-7d69d25c5f20,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
