"ConformLoad:
ID","ConformLoad:
Name","ConformLoad:
NAFlag","ConformLoad:
InternalId","ConformLoad:
Parent","ConformLoad:
ObjectType","ConformLoadGroup:
Path","ConformLoadGroup:
InternalId","ConformLoadGroup:
Name","ConformLoad:
ConformLoadAssignedToConformLoadGroup:
ConformLoadGroup:
ID","ConformLoadGroup:
Parent","ConformLoadGroup:
ObjectType"
_5d369000-761e-4185-ad57-4c30f771dd43,T-01 230\23,true,886816,_b320dd9b-83b8-4543-84d3-db0fdc7b0fa7,ConformLoad,Network/.Load Areas/SIN/01CEL/01   XAL  T-01 230_23-LG,886849,01   XAL  T-01 230_23-LG,_5f7a386f-c707-4fb0-890f-9c4a7a7d12cb,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_3c2e1063-1c78-4df0-89b4-710fe9525510,T-02 230\23,true,886821,_b320dd9b-83b8-4543-84d3-db0fdc7b0fa7,ConformLoad,Network/.Load Areas/SIN/01CEL/01   XAL  T-02 230_23-LG,886950,01   XAL  T-02 230_23-LG,_aa67388a-9762-436f-aea0-56f9390708a3,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_e4e7f5b6-3943-470d-9ef1-f31351c9fa60,T-03 230\23,true,886826,_b320dd9b-83b8-4543-84d3-db0fdc7b0fa7,ConformLoad,Network/.Load Areas/SIN/01CEL/01   XAL  T-03 230_23-LG,887051,01   XAL  T-03 230_23-LG,_c7f3a4b3-a0f0-4d23-9379-622c80b1a2af,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_2d1b0a64-18b8-4682-9977-010fbecb1e60,T-01 230\23,true,887319,_0443a934-ff0f-4d88-b45f-5acbafd3291e,ConformLoad,Network/.Load Areas/SIN/01CEL/01   XOC  T-01 230_23-LG,887352,01   XOC  T-01 230_23-LG,_10066628-82c7-477b-a5f2-56e3b48b7285,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_a8428851-d405-4396-8775-8a0378ff4763,T-02 230\23,true,887324,_0443a934-ff0f-4d88-b45f-5acbafd3291e,ConformLoad,Network/.Load Areas/SIN/01CEL/01   XOC  T-02 230_23-LG,887453,01   XOC  T-02 230_23-LG,_60c5b334-5dbf-4da3-9163-5ea7d4702763,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_4aed1c38-6453-4284-9e5e-b3611163cff9,T-03 230\23,true,887329,_0443a934-ff0f-4d88-b45f-5acbafd3291e,ConformLoad,Network/.Load Areas/SIN/01CEL/01   XOC  T-03 230_23-LG,887554,01   XOC  T-03 230_23-LG,_b5500502-5ec2-49ed-897d-08b2e6448622,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_9151c88a-5b34-492d-8236-50bd2dd6d4c6,T-01 230\23,true,887782,_2d4a6804-53a8-4a00-814b-025b7c134b9f,ConformLoad,Network/.Load Areas/SIN/01CEL/01   XOH  T-01 230_23-LG,887894,01   XOH  T-01 230_23-LG,_db40a791-359a-4ac5-b0fe-360ce8ae5a0a,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_2e1ecff9-7bac-43b4-99ac-f119e6d76cc9,T  01 230\23,true,888172,_a16b62dc-579f-4ec1-9980-9fa4394013ac,ConformLoad,Network/.Load Areas/SIN/01CEL/01   ZAM T  01 230_23-LG,888195,01   ZAM T  01 230_23-LG,_42c59e60-70d2-4241-b954-593f42c87b59,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_9ba8c076-c747-4fc3-a0f1-fc853b37a1b8,53090 CA,true,888782,_f91c23b3-30b2-47b2-bb8c-21d630b20b56,ConformLoad,Network/.Load Areas/SIN/01CEL/01   ZUM  53090 CA-LG,888820,01   ZUM  53090 CA-LG,_525bb1f9-5a11-43a6-a5a6-990650745ffc,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_90c8a81e-694e-4188-a0d8-3a8901ed051f,53110 CA,true,888787,_f91c23b3-30b2-47b2-bb8c-21d630b20b56,ConformLoad,Network/.Load Areas/SIN/01CEL/01   ZUM  53110 CA-LG,888921,01   ZUM  53110 CA-LG,_5efc6b8e-ed2a-4fc7-a2a1-7645d5d0fd19,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
