ID,Path,Name,Description,ElementName,ElementText,IncludeInSE,MeasurementType,mRID,InternalId,Parent,ObjectType
_3dd3f2ab-3909-4a7f-b156-6179d2ed82eb,Network/Companies/SIN/03OCC/03   CFO/34.5/UN-05/Q,Q,03   CFO CG-51055 FVOLT      MVAR,Q (1642),CG-51055 FVOLT      MVAR,true,Reactive power,,2934150,_0b06cb0f-997e-4666-85c8-8654be44f82c,Analog
_a9c0a089-7376-4838-8ec6-5c4d0960ae10,Network/Companies/SIN/03OCC/03   CGM/115/73020 CZI/P,P,03   CGM 73020 CZI             MW,P (1631),73020 CZI             MW,true,Real power,,2936710,_e9e4e279-cac9-4e9b-901e-2c5dff7c87b4,Analog
_b929e151-fd22-46ff-853b-dcccec4b3e6d,Network/Companies/SIN/03OCC/03   CGM/115/73020 CZI/Q,Q,03   CGM 73020 CZI           MVAR,Q (1642),73020 CZI           MVAR,true,Reactive power,,2936718,_e9e4e279-cac9-4e9b-901e-2c5dff7c87b4,Analog
_7bab5e72-d817-4ea1-adc1-fbf31cd9ffa5,Network/Companies/SIN/03OCC/03   CJN/17/UN-01/P,P,03   CJN UN-01                 MW,P (1631),UN-01                 MW,true,Real power,,2937234,_8a37e731-af98-4447-a35c-688ec570b8af,Analog
_2bad2bb5-79bb-402a-aa3a-227e4b056b32,Network/Companies/SIN/03OCC/03   CJN/17/UN-01/Q,Q,03   CJN UN-01               MVAR,Q (1642),UN-01               MVAR,true,Reactive power,,2937251,_8a37e731-af98-4447-a35c-688ec570b8af,Analog
_fba2e6e8-29b0-4b92-9168-1ca55f4b5ad8,Network/Companies/SIN/03OCC/03   CJN/17/UN-02/P,P,03   CJN UN-02                 MW,P (1631),UN-02                 MW,true,Real power,,2937487,_3136e6a1-352d-453d-ad04-5a8b861efd78,Analog
_d28fff6b-e85f-4f81-a6b8-14ecfa3d0fd2,Network/Companies/SIN/03OCC/03   CJN/17/UN-02/Q,Q,03   CJN UN-02               MVAR,Q (1642),UN-02               MVAR,true,Reactive power,,2937504,_3136e6a1-352d-453d-ad04-5a8b861efd78,Analog
_4587af79-53a7-4a12-9027-c62cec22aefb,Network/Companies/SIN/03OCC/03   CTI/18/UN-01/P,P,03   CTI UN-01    BRUTA        MW,P (1631),UN-01    BRUTA        MW,true,Real power,,2942943,_2f0bb46f-372a-46cc-9bb4-5d695c7aa128,Analog
_4c63b65d-06c3-4f28-87c0-84509839b542,Network/Companies/SIN/03OCC/03   CTI/18/UN-01/Q,Q,03   CTI UN-01    BRUTA      MVAR,Q (1642),UN-01    BRUTA      MVAR,true,Reactive power,,2942947,_2f0bb46f-372a-46cc-9bb4-5d695c7aa128,Analog
_e395d1c8-e16a-4b37-8179-ee6e9aadfd9a,Network/Companies/SIN/03OCC/03   CTI/18/UN-02/P,P,03   CTI UN-02    BRUTA        MW,P (1631),UN-02    BRUTA        MW,true,Real power,,2942967,_f025c8d1-42f3-42be-8c7e-9f69265c347a,Analog
