"NonConformLoad:
ID","NonConformLoad:
Name","NonConformLoad:
Path","NonConformLoad:
LogbookText","NonConformLoad:
NAFlag","NonConformLoad:
ODBName","NonConformLoad:
SCADAFlag","NonConformLoad:
ShortID","NonConformLoad:
InternalId","NonConformLoad:
Parent","NonConformLoad:
ObjectType","NonConformLoadGroup:
Path","NonConformLoadGroup:
InternalId","NonConformLoadGroup:
Name","NonConformLoad:
NonConformLoadAssignedToNonConformLoadGroup:
NonConformLoadGroup:
ID","NonConformLoadGroup:
Parent","NonConformLoadGroup:
ObjectType"
_ecf8e07d-e7c0-4464-b80d-91dd14382525,CARGA TAK,Network/Companies/SIN/05NTE/05LGATAK/115/CARGA TAK,CARGA TAK,true,TAKN0171,true,1,1662486,_f2ed2d8d-bb87-4b59-bba8-d3cd4a2226f0,NonConformLoad,Network/.Load Areas/SIN/05NTE/05LGATAK CARGA TAK-LG,1662491,05LGATAK CARGA TAK-LG,_12fc1fff-3879-48f8-aa90-7f64de777252,_37b2c78a-5419-4be5-a2f3-d13518827069,NonConformLoadGroup
_656b4db9-9bd3-4db7-9784-5ecf5b79fe77,AT 01,Network/Companies/SIN/06NES/06   AHM/400/AT 01,AT 01,true,AHMN01A1,true,1,1665828,_8876ded1-d221-40c6-bedb-2735f11966fb,NonConformLoad,Network/.Load Areas/SIN/06NES/06   AHM AT 01-LG,1665843,06   AHM AT 01-LG,_1fce1afa-dbce-4fc0-97ca-304d7438f4fa,_3b8d8039-9b50-4876-ad02-ae5ea675bc0c,NonConformLoadGroup
_4b8cb018-a4fa-4421-9fe5-76671285eb5a,T 02,Network/Companies/SIN/06NES/06   AHM/400/T 02,T 02,true,AHMN02A1,true,2,1665833,_8876ded1-d221-40c6-bedb-2735f11966fb,NonConformLoad,Network/.Load Areas/SIN/06NES/06   AHM T 02-LG,1665944,06   AHM T 02-LG,_c02c408b-f60c-4b01-9fcf-2e623a3c736d,_3b8d8039-9b50-4876-ad02-ae5ea675bc0c,NonConformLoadGroup
_d5add937-634e-4549-9afe-a0f082dc0246,T 03,Network/Companies/SIN/06NES/06   AHM/400/T 03,T 03,true,AHMN03A1,true,3,1665838,_8876ded1-d221-40c6-bedb-2735f11966fb,NonConformLoad,Network/.Load Areas/SIN/06NES/06   AHM T 03-LG,1666045,06   AHM T 03-LG,_f4fa1264-dbff-42e3-81fc-2c9842fc7a88,_3b8d8039-9b50-4876-ad02-ae5ea675bc0c,NonConformLoadGroup
_057f0293-3041-4d3d-b08c-42fb61933981,T1,Network/Companies/SIN/06NES/06   APC/230/T1,T1,true,APCN0191,true,1,1668376,_491d190f-c5e2-475b-a7c8-8275333b4223,NonConformLoad,Network/.Load Areas/SIN/06NES/06   APC T1-LG,1668386,06   APC T1-LG,_f46a7f52-7067-4330-bfe8-61342b6420be,_3b8d8039-9b50-4876-ad02-ae5ea675bc0c,NonConformLoadGroup
_1d9be176-99cc-414f-9995-82630199ff4c,T2,Network/Companies/SIN/06NES/06   APC/230/T2,T2,true,APCN0291,true,2,1668381,_491d190f-c5e2-475b-a7c8-8275333b4223,NonConformLoad,Network/.Load Areas/SIN/06NES/06   APC T2-LG,1668487,06   APC T2-LG,_5336bf27-1fd1-4559-af83-c0311d5cbb49,_3b8d8039-9b50-4876-ad02-ae5ea675bc0c,NonConformLoadGroup
_adee053f-024b-4beb-adb7-1904c9858b83,73250 CARGA,Network/Companies/SIN/06NES/06   BLH/115/73250 CARGA,73250 CARGA,true,BLHN0171,true,1,1704682,_52dd6200-1e5a-4f53-891a-8d6f243fb7da,NonConformLoad,Network/.Load Areas/SIN/06NES/06   BLH 73250 CARGA-LG,1704687,06   BLH 73250 CARGA-LG,_9b8215e7-fc29-42a9-b5f9-ac2ff20aba2c,_3b8d8039-9b50-4876-ad02-ae5ea675bc0c,NonConformLoadGroup
_c4bd32e4-e5e6-4b5d-882a-1bfaa650e95f,93350 DEA,Network/Companies/SIN/06NES/06   CED/230/93350 DEA,93350 DEA,true,CEDN0191,true,1,1707516,_e642aafc-873a-443d-83d1-104ef554fab6,NonConformLoad,Network/.Load Areas/SIN/06NES/06   CED 93350 DEA-LG,1707539,06   CED 93350 DEA-LG,_ef13a97e-2a20-4659-9976-dba951c37de7,_3b8d8039-9b50-4876-ad02-ae5ea675bc0c,NonConformLoadGroup
_65f2e745-07e7-4b9a-bace-ada862cbac93,CARGA,Network/Companies/SIN/06NES/06   CIB/115/CARGA,CARGA,true,CIBN0171,true,1,1708139,_44d9b417-4301-4f9a-a2bb-02e4cf230f99,NonConformLoad,Network/.Load Areas/SIN/06NES/06   CIB CARGA-LG,1708144,06   CIB CARGA-LG,_b04e91d1-0d8c-4565-a448-78720356738e,_3b8d8039-9b50-4876-ad02-ae5ea675bc0c,NonConformLoadGroup
_82ab8e5d-fe7d-435a-a63a-2f056ae0d19d,CARGA,Network/Companies/SIN/06NES/06   CIS/115/CARGA,CARGA,true,CISN0171,true,1,1708254,_6f28a73f-dc99-439d-ae8b-6552ff3c50ba,NonConformLoad,Network/.Load Areas/SIN/06NES/06   CIS CARGA-LG,1708259,06   CIS CARGA-LG,_3571facc-aa11-455e-8d5b-8ad95036d9e7,_3b8d8039-9b50-4876-ad02-ae5ea675bc0c,NonConformLoadGroup
_e1a41b27-af98-4120-90b1-3e29d8412167,CARGA TOT,Network/Companies/SIN/06NES/06   DTL/115/CARGA TOT,CARGA TOT,true,DTLN0171,true,1,1711858,_00e97638-6971-49ff-842c-2ffc4d79a362,NonConformLoad,Network/.Load Areas/SIN/06NES/06   DTL CARGA TOT-LG,1711863,06   DTL CARGA TOT-LG,_1dcafb55-eba1-47ba-83fb-a42eba326c9c,_3b8d8039-9b50-4876-ad02-ae5ea675bc0c,NonConformLoadGroup
_ca1f2884-ab71-4b65-a3f8-26e375355732,CARGA,Network/Companies/ERC/06ERC/06   EAP/138/CARGA,CARGA,true,EAPN0181,true,1,1712824,_c6160762-e09f-4f11-a4be-fe240658e65c,NonConformLoad,Network/.Load Areas/ERC/06ERC/06   EAP CARGA-LG,1712832,06   EAP CARGA-LG,_28643895-29df-422d-8715-fdaca950d386,_e1806620-d313-49a5-af93-aa458a5a4bf4,NonConformLoadGroup
_937973d0-3a52-4ab9-9145-ee41d86e6977,CARGA HNO,Network/Companies/SIN/06NES/06   EHN/230/CARGA HNO,CARGA HNO,true,EHNN0191,true,1,1713333,_56508180-ddbe-4b43-9397-11506fdc6851,NonConformLoad,Network/.Load Areas/SIN/06NES/06   EHN CARGA HNO-LG,1713338,06   EHN CARGA HNO-LG,_fc8ff9c8-4440-4bcc-8948-81556b4790c4,_3b8d8039-9b50-4876-ad02-ae5ea675bc0c,NonConformLoadGroup
_03aa97de-e11d-4918-8038-00c37c3d8daf,CARGA T1,Network/Companies/SIN/06NES/06   FFO/230/CARGA T1,CARGA T1,true,FFON0191,true,1,1718535,_5c359cd9-b1b6-444a-b64d-35e7c075594e,NonConformLoad,Network/.Load Areas/SIN/06NES/06   FFO CARGA T1-LG,1718545,06   FFO CARGA T1-LG,_5694a954-62b3-4841-bfdc-dbee91f008e9,_3b8d8039-9b50-4876-ad02-ae5ea675bc0c,NonConformLoadGroup
_d66a7572-74f1-44f1-8f6d-5f8bfe2b354b,CARGA T2,Network/Companies/SIN/06NES/06   FFO/230/CARGA T2,CARGA T2,true,FFON0291,true,2,1718540,_5c359cd9-b1b6-444a-b64d-35e7c075594e,NonConformLoad,Network/.Load Areas/SIN/06NES/06   FFO CARGA T2-LG,1718646,06   FFO CARGA T2-LG,_6b606e7a-df48-4ff8-8d05-0f470d9bfa81,_3b8d8039-9b50-4876-ad02-ae5ea675bc0c,NonConformLoadGroup
