TableName,ID,Path,ShortID,Description,NAFlag,pfixedPct,qfixedPct,InternalId,Name,Parent,ObjectType
NonConformLoad,_f94ee6e3-f59c-4348-94d2-d7344bdc4fc3,Network/Companies/SIN/01CEL/01TLCENB/13.8/T-03 115\13.8,3,01TLCENB  T-03 115/13.8,true,100,100,899289,T-03 115\13.8,_f4fafa78-fbbd-4706-8a62-73cfe35bc7bc,NonConformLoad
NonConformLoad,_98ef2f45-9647-4883-81b3-682fc00e4d53,Network/Companies/SIN/01CEL/01TLCESB/13.8/T-01 115\13.8,1,01TLCESB  T-01 115/13.8,true,100,100,899720,T-01 115\13.8,_0277480a-a2ba-4a4c-8ce6-403b2730665d,NonConformLoad
NonConformLoad,_70be5596-3194-4c94-91ce-497bda1fc615,Network/Companies/SIN/01CEL/01TLCETB/13.8/T-01 115\13.8,1,01TLCETB  T-01 115/13.8,true,100,100,899983,T-01 115\13.8,_15309db7-0b6c-4de8-8150-ca1651208f16,NonConformLoad
NonConformLoad,_c5b3c87a-9f28-48c7-926d-7015b17e6f2c,Network/Companies/SIN/01CEL/01TLCETB/13.8/T-02 115\13.8,2,01TLCETB  T-02 115/13.8,true,100,100,899988,T-02 115\13.8,_15309db7-0b6c-4de8-8150-ca1651208f16,NonConformLoad
NonConformLoad,_4a3047c3-368e-4449-8893-ee745b91209f,Network/Companies/SIN/01CEL/01TLCETB/13.8/T-03 115\13.8,3,01TLCETB  T-03 115/13.8,true,100,100,899993,T-03 115\13.8,_15309db7-0b6c-4de8-8150-ca1651208f16,NonConformLoad
NonConformLoad,_0d7f5c64-fd5d-4b28-9a38-031f6cf62740,Network/Companies/SIN/01CEL/01TLCEUB/13.8/T-01 115\13.8,1,01TLCEUB  T-01 115/13.8,true,100,100,900440,T-01 115\13.8,_6b1a21fb-102b-4bd6-9cb5-c77ca206211f,NonConformLoad
NonConformLoad,_da2c0959-cad4-4371-880d-de570cf04b09,Network/Companies/SIN/01CEL/01TLCEUB/13.8/T-02 115\13.8,2,01TLCEUB  T-02 115/13.8,true,100,100,900445,T-02 115\13.8,_6b1a21fb-102b-4bd6-9cb5-c77ca206211f,NonConformLoad
NonConformLoad,_1de09f76-b70e-4629-8bac-f8b904e61ee1,Network/Companies/SIN/01CEL/01TLCGMC/85/76006 CA,1,01TLCGMC 76006 CA,true,100,100,901027,76006 CA,_6d7fc9ea-0180-4741-a2d8-703371d52014,NonConformLoad
NonConformLoad,_ef29e6bc-e5df-4070-a3a6-603d5773f224,Network/Companies/SIN/01CEL/01TLCINU/23/T-01 115\23,1,01TLCINU  T-01 115/23,true,100,100,901560,T-01 115\23,_23540e18-1fe6-4dca-9943-89ee68c6406f,NonConformLoad
NonConformLoad,_92594623-ffd0-4d7e-98ec-215cb1b10d7e,Network/Companies/SIN/01CEL/01TLCINU/23/T-02 115\23,2,01TLCINU  T-02 115/23,true,100,100,901565,T-02 115\23,_23540e18-1fe6-4dca-9943-89ee68c6406f,NonConformLoad
NonConformLoad,_eac14b7b-6fc1-4115-b844-41bedbf054c5,Network/Companies/SIN/01CEL/01TLCKDM/85/76006 CA,1,01TLCKDM 76006 CA,true,100,100,903847,76006 CA,_82ba907a-6619-4eca-b0fe-418171ec22d2,NonConformLoad
NonConformLoad,_134ed12a-b9a8-4b17-b710-468a936be5cb,Network/Companies/SIN/01CEL/01TLCLCD/115/72010 CAR,1,01TLCLCD 72010 CAR,true,100,100,904259,72010 CAR,_1f64822e-aeb1-4642-aa78-9c2390b84d09,NonConformLoad
