"PowerTransformer:
ID","PowerTransformer:
transformerType","PowerTransformer:
InternalId","PowerTransformer:
Name","PowerTransformer:
Parent","PowerTransformer:
ObjectType"
_0ffd4049-34cc-4fd4-b140-5638678a209c,voltageControl,797753,01ECR T01 230\23,_d7568207-0c96-471c-b6f4-9fb9168eecfb,PowerTransformer
_0102ca23-a219-4197-b33c-cb795f504bf2,voltageControl,797759,01ECR T02 230\23,_d7568207-0c96-471c-b6f4-9fb9168eecfb,PowerTransformer
_48409dc9-ad57-4a35-8c41-78c72eea7aa9,voltageControl,797765,01ECR T03 230\23,_d7568207-0c96-471c-b6f4-9fb9168eecfb,PowerTransformer
_34e18048-cea9-470c-afa0-a9ebe215d882,fix,798170,01ELG T01 115\13.8,_c6d324c0-620a-4279-9a19-cdcaa5df3d42,PowerTransformer
_13ffa416-2915-4e55-bc2a-8279bad05e7a,fix,798175,01ELG T02 115\13.8,_c6d324c0-620a-4279-9a19-cdcaa5df3d42,PowerTransformer
_36aa67d6-10af-4d21-8870-3c4ed8f7891c,voltageControl,798427,01ESR T01 230\85,_a53ed7db-cc71-4edc-8c2c-30441e86aaf7,PowerTransformer
_9e7f5b66-19dc-4e8f-baa6-32fe9bc94e7b,voltageControl,798433,01ESR T02 230\85,_a53ed7db-cc71-4edc-8c2c-30441e86aaf7,PowerTransformer
_97ce6662-cac0-473e-b945-a063840a1b39,voltageControl,798439,01ESR T03 230\85,_a53ed7db-cc71-4edc-8c2c-30441e86aaf7,PowerTransformer
_4f3090af-fdce-43f6-8e45-c378ec42b454,voltageControl,798690,01EST T01 230\23,_4a3d38a4-7ebd-4605-82c1-14869845d9a9,PowerTransformer
_a0bcfcf0-38bb-4855-88de-6f1772b51944,voltageControl,798696,01EST T02 230\23,_4a3d38a4-7ebd-4605-82c1-14869845d9a9,PowerTransformer
_24d9e05b-c4d8-40eb-a0c4-ca23438bc746,voltageControl,798702,01EST T03 230\23,_4a3d38a4-7ebd-4605-82c1-14869845d9a9,PowerTransformer
_6ae965b6-ed75-4953-b43d-8ba357b5b15f,voltageControl,798708,01EST T04 230\23,_4a3d38a4-7ebd-4605-82c1-14869845d9a9,PowerTransformer
