"RatioVariation:
InternalId","RatioVariation:
ID","RatioVariation:
Name","RatioVariation:
TapPosition","RatioVariation:
Parent","RatioVariation:
ObjectType","TapChanger:
InternalId","TapChanger:
Name","RatioVariation:
RatioVariationMemberOfTapChanger:
TapChanger:
ID","TapChanger:
Parent","TapChanger:
ObjectType"
781251,_ce62f94c-69d0-4085-a63f-6d19b47b8fd8,RatioVar_17,17,_3578926f-16a9-434f-aaf7-962b2ab413a8,RatioVariation,781239,High Tap,_3578926f-16a9-434f-aaf7-962b2ab413a8,_0344a327-499d-474f-a83e-79c57f02bf7d,TapChanger
781252,_d44607d2-55c3-46c5-8208-2770ae26db23,RatioVar_18,18,_3578926f-16a9-434f-aaf7-962b2ab413a8,RatioVariation,781239,High Tap,_3578926f-16a9-434f-aaf7-962b2ab413a8,_0344a327-499d-474f-a83e-79c57f02bf7d,TapChanger
781253,_c5f7704f-f53a-444f-be80-612640249a16,RatioVar_19,19,_3578926f-16a9-434f-aaf7-962b2ab413a8,RatioVariation,781239,High Tap,_3578926f-16a9-434f-aaf7-962b2ab413a8,_0344a327-499d-474f-a83e-79c57f02bf7d,TapChanger
781254,_2f243ceb-faa3-4baf-a215-8560f0f0608d,RatioVar_20,20,_3578926f-16a9-434f-aaf7-962b2ab413a8,RatioVariation,781239,High Tap,_3578926f-16a9-434f-aaf7-962b2ab413a8,_0344a327-499d-474f-a83e-79c57f02bf7d,TapChanger
781255,_39d70903-def3-4ff0-b419-d053edc1619a,RatioVar_21,21,_3578926f-16a9-434f-aaf7-962b2ab413a8,RatioVariation,781239,High Tap,_3578926f-16a9-434f-aaf7-962b2ab413a8,_0344a327-499d-474f-a83e-79c57f02bf7d,TapChanger
781279,_fa61bc9c-48b4-4444-a0de-cae33ad6e93a,RatioVar_10,10,_b4c292a8-fe9b-422c-9eee-fc840cba520e,RatioVariation,781278,High Tap,_b4c292a8-fe9b-422c-9eee-fc840cba520e,_9d611394-f3e0-42c5-b3de-0054fe3c1520,TapChanger
781280,_f425541f-3e61-46e9-a065-2d54db71b7d8,RatioVar_11,11,_b4c292a8-fe9b-422c-9eee-fc840cba520e,RatioVariation,781278,High Tap,_b4c292a8-fe9b-422c-9eee-fc840cba520e,_9d611394-f3e0-42c5-b3de-0054fe3c1520,TapChanger
781281,_a9ea5bba-76a8-4fc0-ae24-2e296d6d86e0,RatioVar_12,12,_b4c292a8-fe9b-422c-9eee-fc840cba520e,RatioVariation,781278,High Tap,_b4c292a8-fe9b-422c-9eee-fc840cba520e,_9d611394-f3e0-42c5-b3de-0054fe3c1520,TapChanger
781282,_9b5b5e87-7728-498a-833a-729a16597ad9,RatioVar_13,13,_b4c292a8-fe9b-422c-9eee-fc840cba520e,RatioVariation,781278,High Tap,_b4c292a8-fe9b-422c-9eee-fc840cba520e,_9d611394-f3e0-42c5-b3de-0054fe3c1520,TapChanger
781283,_a8bcaecc-7368-485e-a09a-2eaec6d65712,RatioVar_14,14,_b4c292a8-fe9b-422c-9eee-fc840cba520e,RatioVariation,781278,High Tap,_b4c292a8-fe9b-422c-9eee-fc840cba520e,_9d611394-f3e0-42c5-b3de-0054fe3c1520,TapChanger
781284,_e8ec14d1-1456-46a2-b208-df58fbbdf9b3,RatioVar_15,15,_b4c292a8-fe9b-422c-9eee-fc840cba520e,RatioVariation,781278,High Tap,_b4c292a8-fe9b-422c-9eee-fc840cba520e,_9d611394-f3e0-42c5-b3de-0054fe3c1520,TapChanger
781285,_28143e07-8258-4117-b620-c594c3c0b68c,RatioVar_16,16,_b4c292a8-fe9b-422c-9eee-fc840cba520e,RatioVariation,781278,High Tap,_b4c292a8-fe9b-422c-9eee-fc840cba520e,_9d611394-f3e0-42c5-b3de-0054fe3c1520,TapChanger
781286,_8070aeec-f2ec-4ccd-a7e0-a7c16f450d70,RatioVar_17,17,_b4c292a8-fe9b-422c-9eee-fc840cba520e,RatioVariation,781278,High Tap,_b4c292a8-fe9b-422c-9eee-fc840cba520e,_9d611394-f3e0-42c5-b3de-0054fe3c1520,TapChanger
781287,_7b179a05-0b1e-454d-99b6-c410a89340ce,RatioVar_18,18,_b4c292a8-fe9b-422c-9eee-fc840cba520e,RatioVariation,781278,High Tap,_b4c292a8-fe9b-422c-9eee-fc840cba520e,_9d611394-f3e0-42c5-b3de-0054fe3c1520,TapChanger
781288,_4ec16abd-f14c-4c1e-9ed2-8cc79c334ca5,RatioVar_19,19,_b4c292a8-fe9b-422c-9eee-fc840cba520e,RatioVariation,781278,High Tap,_b4c292a8-fe9b-422c-9eee-fc840cba520e,_9d611394-f3e0-42c5-b3de-0054fe3c1520,TapChanger
781289,_094af8cb-6f15-458e-a2f7-5f56b6391a3e,RatioVar_20,20,_b4c292a8-fe9b-422c-9eee-fc840cba520e,RatioVariation,781278,High Tap,_b4c292a8-fe9b-422c-9eee-fc840cba520e,_9d611394-f3e0-42c5-b3de-0054fe3c1520,TapChanger
812866,_4ee04ebd-f51f-46cd-a0cf-240ce80132e1,RatioVar_10,10,_07eb2b29-0b73-40e4-adae-7737b26c4ecf,RatioVariation,812865,High Tap,_07eb2b29-0b73-40e4-adae-7737b26c4ecf,_db505bf3-5f1b-485d-b9ef-a32a416b6a88,TapChanger
