"ThermalGeneratingUnit:
ID","ThermalGeneratingUnit:
PhysicalUnitType","ThermalGeneratingUnit:
InternalId","ThermalGeneratingUnit:
Name","ThermalGeneratingUnit:
Parent","ThermalGeneratingUnit:
ObjectType"
_bb7cfa3e-5fb7-44fa-9612-0c1b727ca3a5,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2431974,05EEN-U1 Unit,_c2824d68-c10f-4cdf-972d-fdd6c8574922,ThermalGeneratingUnit
_f0fca13c-9544-4726-8687-05fee02b6e56,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2431985,05EEN-U10 Unit,_c2824d68-c10f-4cdf-972d-fdd6c8574922,ThermalGeneratingUnit
_a9f6c5a1-f62c-456e-a6f3-7edb25745562,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2431996,05EEN-U11 Unit,_c2824d68-c10f-4cdf-972d-fdd6c8574922,ThermalGeneratingUnit
_57719def-c49f-48e8-a8b9-6131ab178828,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432007,05EEN-U12 Unit,_c2824d68-c10f-4cdf-972d-fdd6c8574922,ThermalGeneratingUnit
_6c3d28c5-0e37-4736-98a7-dbbd8c02bed1,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432018,05EEN-U2 Unit,_c2824d68-c10f-4cdf-972d-fdd6c8574922,ThermalGeneratingUnit
_8263a889-8a7a-4150-8de3-51594d3c048d,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432029,05EEN-U3 Unit,_c2824d68-c10f-4cdf-972d-fdd6c8574922,ThermalGeneratingUnit
_298d7e22-6c25-4873-87f5-ce2e7dd8d990,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432040,05EEN-U4 Unit,_c2824d68-c10f-4cdf-972d-fdd6c8574922,ThermalGeneratingUnit
_83c53e5f-db00-48f9-893d-afaf26448af1,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432051,05EEN-U5 Unit,_c2824d68-c10f-4cdf-972d-fdd6c8574922,ThermalGeneratingUnit
_9aa2344d-6ec0-463e-b7cb-463bc63a49bb,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432062,05EEN-U6 Unit,_c2824d68-c10f-4cdf-972d-fdd6c8574922,ThermalGeneratingUnit
_a68cfb40-2c01-4fe7-839f-c9601584d673,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432073,05EEN-U7 Unit,_c2824d68-c10f-4cdf-972d-fdd6c8574922,ThermalGeneratingUnit
_fbbeb8af-8049-49ff-b3c2-1df8a1c7e61c,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432084,05EEN-U8 Unit,_c2824d68-c10f-4cdf-972d-fdd6c8574922,ThermalGeneratingUnit
_aad0ec43-c5dd-4d87-a2f0-f4cba8adde1f,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432095,05EEN-U9 Unit,_c2824d68-c10f-4cdf-972d-fdd6c8574922,ThermalGeneratingUnit
_eb8b0a45-c460-478b-ad19-c181bd6a0b0d,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432109,05FVL-U4 Unit,_4bf605cd-99f8-48b4-bb13-d7e7dec31528,ThermalGeneratingUnit
_a862e27e-ae3c-4268-bc5e-7eb574e6fb61,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432128,05FVL-U5 Unit,_4bf605cd-99f8-48b4-bb13-d7e7dec31528,ThermalGeneratingUnit
_76d49df2-689d-4c7b-9440-0933f4dd9a98,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432150,05GBA-U1 Unit,_c1c8be80-0b64-42b2-8a0a-678056e83182,ThermalGeneratingUnit
_81571c4c-f456-425d-9235-4e144d4423af,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432161,05GBA-U2 Unit,_c1c8be80-0b64-42b2-8a0a-678056e83182,ThermalGeneratingUnit
_8e0e7ad0-5c5f-4836-83f7-feadff95fda9,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432174,05GGP-U1 Unit,_68d83547-bb63-4c14-8fdd-5ab5c0f9f7a6,ThermalGeneratingUnit
_d19c5443-4219-4a2f-8894-f09b43144ce1,Gas Turbine (can only burn gas),2432187,05INJ-U1 Unit,_81103c12-143a-47f5-9f09-ab484ad319eb,ThermalGeneratingUnit
_1db54765-0500-4a7b-a45a-ced33ae8a86d,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432203,05LED-U1 Unit,_90f174e4-ef2e-443b-a622-83f163d6a6cc,ThermalGeneratingUnit
_15ace55c-4e61-4906-a792-944dc944d8f2,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432222,05LED-U2 Unit,_90f174e4-ef2e-443b-a622-83f163d6a6cc,ThermalGeneratingUnit
_50c277d5-195b-4c78-97cc-94eea44563d6,Gas Turbine (can only burn gas),2432246,05LGA-U5 Unit,_37279302-9351-452d-9442-ee2ac61affe1,ThermalGeneratingUnit
_e9ad780f-e4aa-4670-9195-49330fd64165,Gas Turbine (can only burn gas),2432259,05LGA-U6 Unit,_37279302-9351-452d-9442-ee2ac61affe1,ThermalGeneratingUnit
_20e2d394-f6ec-4f10-bb2b-81cdc1552810,Gas Turbine (can only burn gas),2432272,05LGA-U7 Unit,_37279302-9351-452d-9442-ee2ac61affe1,ThermalGeneratingUnit
_62d3771b-9852-45d8-b3df-9bcbcc347371,Gas Turbine (can only burn gas),2432285,05LGA-U8 Unit,_37279302-9351-452d-9442-ee2ac61affe1,ThermalGeneratingUnit
_0b540489-f0a9-4271-81fb-855a6eeea647,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432300,05PCN-U1 Unit,_822b1fec-dad7-4bf2-9836-5f23f9d38b99,ThermalGeneratingUnit
_2827902d-8215-475f-8b6c-fe7c4037e0b9,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432313,05PEL-U1 Unit,_eed14f5e-d2a8-44be-96c4-337274f6dbb7,ThermalGeneratingUnit
_b46b40aa-2400-4c4a-8187-ee1f0935feb5,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432328,05POE-U5 Unit,_3708150e-20a2-4fd9-b63b-3aab62a3c87c,ThermalGeneratingUnit
_07685d05-60e0-4531-bd9b-44e0bf2ef051,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432339,05POE-U6 Unit,_3708150e-20a2-4fd9-b63b-3aab62a3c87c,ThermalGeneratingUnit
_c424a60c-7600-46a8-920b-39bfb49463cf,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432350,05POE-U7 Unit,_3708150e-20a2-4fd9-b63b-3aab62a3c87c,ThermalGeneratingUnit
_770d90f6-012e-485c-8104-2ee79dbfcf14,Gas Turbine (can only burn gas),2432365,05PQE-U2 Unit,_0f92584f-9b2e-44f3-b513-2ce2acc21234,ThermalGeneratingUnit
_a6f139cf-8e02-47bb-a03c-86701a022019,Gas Turbine (can only burn gas),2432378,05PQE-U3 Unit,_0f92584f-9b2e-44f3-b513-2ce2acc21234,ThermalGeneratingUnit
_3517980d-da8f-4424-a49d-06e25117cb92,Gas Turbine (can only burn gas),2432391,05PQE-U4 Unit,_0f92584f-9b2e-44f3-b513-2ce2acc21234,ThermalGeneratingUnit
_149fc0bc-43b5-41f0-a765-ae44bac0f71c,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432406,05STL-U1 Unit,_49a7c44f-effc-4bf7-b83d-56848b3c4b59,ThermalGeneratingUnit
_f594e071-defc-4a12-b01d-887020b1d158,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432420,05SYC-U1 Unit,_df3b054d-51cb-484b-9c86-74e2ce10edf7,ThermalGeneratingUnit
_54d50332-6999-4c5d-83cc-01bd97975598,"Combustion Turbine (can burn liquid fuels as well as gas, e.g., oil, jet fuel etc.)",2432439,05SYC-U2 Unit,_df3b054d-51cb-484b-9c86-74e2ce10edf7,ThermalGeneratingUnit
_b49a6d51-2a49-4fb6-bbee-63a483100327,Combined Cycle Logical Unit (NA Flag should be false),2432544,05ENO-PQ1 Unit,_21390c4c-98f5-4a44-ab80-58c27fc722b9,ThermalGeneratingUnit
_e2712a07-cca0-4c84-82f8-271c0dac03e1,Gas Turbine (can only burn gas),2432557,05ENO-U1 Unit,_21390c4c-98f5-4a44-ab80-58c27fc722b9,ThermalGeneratingUnit
_0d9e37f2-397f-4b35-93bc-4f857462ae21,Gas Turbine (can only burn gas),2432568,05ENO-U2 Unit,_21390c4c-98f5-4a44-ab80-58c27fc722b9,ThermalGeneratingUnit
_a3cd23b1-600c-45c4-82d6-8b7bbd3cd82d,Fossil Fired Steam,2432579,05ENO-U3 Unit,_21390c4c-98f5-4a44-ab80-58c27fc722b9,ThermalGeneratingUnit
_a877f41a-459b-4a51-be9f-caf3bb4ab6be,Combined Cycle Logical Unit (NA Flag should be false),2432630,05ENO-PQ2 Unit,_3f3062ef-35b2-48b1-a7f9-8e3b5e0a36e4,ThermalGeneratingUnit
_9cf747fd-95bc-4148-9d31-f18da598f9f2,Gas Turbine (can only burn gas),2432643,05ENO-U4 Unit,_3f3062ef-35b2-48b1-a7f9-8e3b5e0a36e4,ThermalGeneratingUnit
_bce82547-98fc-4ad3-b591-41d262ee2a6a,Fossil Fired Steam,2432654,05ENO-U5 Unit,_3f3062ef-35b2-48b1-a7f9-8e3b5e0a36e4,ThermalGeneratingUnit
_265894ab-9462-4380-915b-282bb88e3223,Combined Cycle Logical Unit (NA Flag should be false),2432751,05FED-PTA Unit,_0f63aa52-3530-4354-bfaf-e98bafcb1d17,ThermalGeneratingUnit
_e14f0bad-0e31-42f3-8dc6-92f2e28d9c59,Gas Turbine (can only burn gas),2432764,05FED-U1 Unit,_0f63aa52-3530-4354-bfaf-e98bafcb1d17,ThermalGeneratingUnit
_af50923d-f66f-43a6-97d5-059632430a05,Gas Turbine (can only burn gas),2432775,05FED-U2 Unit,_0f63aa52-3530-4354-bfaf-e98bafcb1d17,ThermalGeneratingUnit
_f2725fc5-f53b-4980-9079-27f9feb96c84,Fossil Fired Steam,2432786,05FED-U3 Unit,_0f63aa52-3530-4354-bfaf-e98bafcb1d17,ThermalGeneratingUnit
_1a79ec87-c4a8-4dd4-b81c-e54bef2404c1,Combined Cycle Logical Unit (NA Flag should be false),2432883,05GPP-PTA Unit,_d5d0c06f-f8dc-4a38-9f03-5127b00cc674,ThermalGeneratingUnit
_33b29a1f-688e-4974-91b1-8312af79c214,Gas Turbine (can only burn gas),2432894,05GPP-U1 Unit,_d5d0c06f-f8dc-4a38-9f03-5127b00cc674,ThermalGeneratingUnit
_6b6834eb-0bfa-430e-b8dd-b570feeb60c5,Gas Turbine (can only burn gas),2432905,05GPP-U2 Unit,_d5d0c06f-f8dc-4a38-9f03-5127b00cc674,ThermalGeneratingUnit
_442c36ca-c5d7-42c0-9342-1b487e6f57d2,Fossil Fired Steam,2432916,05GPP-U3 Unit,_d5d0c06f-f8dc-4a38-9f03-5127b00cc674,ThermalGeneratingUnit
_f766be41-588c-41aa-8fd2-f48f4d469ac1,Combined Cycle Logical Unit (NA Flag should be false),2433013,05IEL-PTA Unit,_7256001b-82a4-4b6b-bd36-e35e4cecfb28,ThermalGeneratingUnit
_4f257c22-9686-4f21-a54f-8b929fc98111,Gas Turbine (can only burn gas),2433026,05IEL-U1 Unit,_7256001b-82a4-4b6b-bd36-e35e4cecfb28,ThermalGeneratingUnit
