ID,Path,Name,NAFlag,InternalId,Parent,ObjectType
_74e484bc-0a04-4c3f-a625-d79e492eb204,Network/Companies/SIN/02ORI/02SURTGU/115/02SURTGU B1  115   A,02SURTGU B1  115   A,true,1152401,_b774470c-e778-41ad-bf14-7a6f381ea5a1,BusbarSection
_511b8c72-ae80-4f05-b04f-b3016251e23b,Network/Companies/SIN/02ORI/02SURTGU/115/02SURTGU BT  115   B,02SURTGU BT  115   B,true,1152403,_b774470c-e778-41ad-bf14-7a6f381ea5a1,BusbarSection
_031c6cb8-9221-40a7-8e73-262e556e7e07,Network/Companies/SIN/02ORI/02SURTGU/13.8/02SURTGU B1  13.8  A,02SURTGU B1  13.8  A,true,1152483,_b48e9e79-132b-4520-bd28-771a10f764f4,BusbarSection
_17d73fc2-60d7-419e-b871-5b984f2884fa,Network/Companies/SIN/02ORI/02SURTGU/13.8/02SURTGU B2  13.8  B,02SURTGU B2  13.8  B,true,1152485,_b48e9e79-132b-4520-bd28-771a10f764f4,BusbarSection
_5eb65090-e0df-421f-b01a-6236bcfcd031,Network/Companies/SIN/02ORI/02SURTLN/115/02SURTLN B1  115   A,02SURTLN B1  115   A,true,1152791,_8b4ef548-9ad7-4544-b4b6-7aa7999f174f,BusbarSection
_10d5eb39-450a-46bf-b760-b4139c4be92b,Network/Companies/SIN/02ORI/02SURTLN/13.8/02SURTLN B1  13.8  A,02SURTLN B1  13.8  A,true,1152838,_a6683163-7b00-4ff3-866b-f3bb246eec7b,BusbarSection
_ea70089e-83d9-4aab-88b9-d7fbe9476a1e,Network/Companies/SIN/02ORI/02SURTLN/13.8/02SURTLN B2  13.8  B,02SURTLN B2  13.8  B,true,1152840,_a6683163-7b00-4ff3-866b-f3bb246eec7b,BusbarSection
_5b462eb6-2adf-4bd9-a551-797be045a134,Network/Companies/SIN/02ORI/02SURTMM/115/02SURTMM B1  115   A,02SURTMM B1  115   A,true,1153125,_914881fd-287d-43b4-9aef-e45ca5bd0e8b,BusbarSection
_2a2c0da4-80a9-46a7-8b5a-3ea22355d4cb,Network/Companies/SIN/02ORI/02SURTMM/115/02SURTMM BT  115   B,02SURTMM BT  115   B,true,1153127,_914881fd-287d-43b4-9aef-e45ca5bd0e8b,BusbarSection
_8b38e766-46b9-4799-a3e9-4bcd7510fabb,Network/Companies/SIN/02ORI/02SURTNA/115/02SURTNA B1  115   A,02SURTNA B1  115   A,true,1153214,_0cd96fb1-4aa2-4ff9-b3ec-823c1cf51d8f,BusbarSection
_bc2a5dd4-8bb7-4ca1-a1dc-eeffef78b602,Network/Companies/SIN/02ORI/02SURTNA/13.8/02SURTNA B1  13.8  A,02SURTNA B1  13.8  A,true,1153236,_3139ae07-1dc6-4764-90de-2b9afac36f03,BusbarSection
_2b3a69d2-8e09-46ee-95b5-0dbd6416739f,Network/Companies/SIN/02ORI/02SURTNE/115/02SURTNE B1  115   A,02SURTNE B1  115   A,true,1153389,_70dfa94f-604e-431d-8ba2-f5b6ed0d7006,BusbarSection
_2edaa040-cf83-4838-8e81-d04e06ad8b54,Network/Companies/SIN/02ORI/02SURTNI/115/02SURTNI B1  115   A,02SURTNI B1  115   A,true,1153448,_e8beee5a-b984-4ab3-b927-0d616f0d9013,BusbarSection
_752c2865-6f51-4e5a-b8bf-c4a043c0fe59,Network/Companies/SIN/02ORI/02SURTNI/34.5/02SURTNI B1  34.5  A,02SURTNI B1  34.5  A,true,1153456,_531a561e-5d36-42dc-90ef-7d701003e7db,BusbarSection
_de70c61d-7d2a-4041-af5c-163d8acdf3c6,Network/Companies/SIN/02ORI/02SURTNQ/115/02SURTNQ B1  115   A,02SURTNQ B1  115   A,true,1153593,_991435b6-2f51-451a-aa99-0dfc658fdd82,BusbarSection
_8632761d-49eb-4758-aecc-b8f01833e0b8,Network/Companies/SIN/02ORI/02SURTNQ/13.8/02SURTNQ B1  13.8  A,02SURTNQ B1  13.8  A,true,1153639,_ceb7ebd4-cf34-43d8-ab03-a8f4f15d0f0c,BusbarSection
_d9b35ce8-d211-4821-8aa0-9bc1434c1526,Network/Companies/SIN/02ORI/02SURTNQ/34.5/02SURTNQ B1  34.5  A,02SURTNQ B1  34.5  A,true,1153663,_6dbf9f0e-575f-49f6-bb9e-926975376561,BusbarSection
_452dcc8a-9e60-4c96-a815-ed67c9842f59,Network/Companies/SIN/02ORI/02SURTOE/115/02SURTOE B1  115   A,02SURTOE B1  115   A,true,1153941,_e3a3f4cc-c96c-49fc-af2c-c0ed5e34ff88,BusbarSection
_e9820a4e-1c2c-4f24-84b2-9d31f87ad8b2,Network/Companies/SIN/02ORI/02SURTOE/13.8/02SURTOE B1  13.8  A,02SURTOE B1  13.8  A,true,1153996,_ec8a6418-5101-4b69-8eba-7cdc31bfbae3,BusbarSection
_a019383e-c8aa-46e6-ad6b-a08b82625350,Network/Companies/SIN/02ORI/02SURTOE/34.5/02SURTOE B1  34.5  A,02SURTOE B1  34.5  A,true,1154018,_db4ba239-aac7-43ab-b8db-f419e8f65b7d,BusbarSection
_30490521-5595-4754-b44a-737054aa1162,Network/Companies/SIN/02ORI/02SURTPJ/115/02SURTPJ B1  115   A,02SURTPJ B1  115   A,true,1154282,_0b330098-7d01-4de8-bc2b-62d3db449509,BusbarSection
_d2da7ab2-27ff-4c63-a6e6-a873de372365,Network/Companies/SIN/02ORI/02SURTPJ/13.8/02SURTPJ B1  13.8  A,02SURTPJ B1  13.8  A,true,1154316,_d517d545-2889-4628-ac03-3c25edda767a,BusbarSection
_cce0d87d-30bc-4bd1-98c3-2fe6692acb48,Network/Companies/SIN/02ORI/02SURTTB/115/02SURTTB B1  115   A,02SURTTB B1  115   A,true,1154475,_7eb247c5-7774-4fcb-ac71-2b1a9f16a9ed,BusbarSection
_8f09457c-b2cd-427a-94db-0ce2385f01bd,Network/Companies/SIN/02ORI/02SURTTB/13.8/02SURTTB B1  13.8  A,02SURTTB B1  13.8  A,true,1154533,_8dee7dc4-6b60-47ed-9f2e-33a724f60da1,BusbarSection
_af623f60-5642-4503-94a7-ff349a4b4354,Network/Companies/SIN/02ORI/02SURTTB/13.8/02SURTTB B2  13.8  B,02SURTTB B2  13.8  B,true,1154535,_8dee7dc4-6b60-47ed-9f2e-33a724f60da1,BusbarSection
_a252c922-c859-4fc2-bdf8-0ae435a4e8d7,Network/Companies/SIN/02ORI/02SURTXN/115/02SURTXN B1  115   A,02SURTXN B1  115   A,true,1154842,_7abb4ede-54c3-47ac-9fbb-0c01de4fc425,BusbarSection
_850cbcf1-1efb-4836-b018-f314f5b9cf7e,Network/Companies/SIN/02ORI/02SURTXN/115/02SURTXN BT  115   B,02SURTXN BT  115   B,true,1154844,_7abb4ede-54c3-47ac-9fbb-0c01de4fc425,BusbarSection
_b9e35fb6-2a7d-4c80-9707-6066f9e6e2f9,Network/Companies/SIN/02ORI/02SURTXN/13.8/02SURTXN B1  13.8  A,02SURTXN B1  13.8  A,true,1154924,_235a9e82-3f6e-4928-8c05-e21b2b6c81b2,BusbarSection
_524c6c0e-c82a-4e03-8c29-ef8756cd15ee,Network/Companies/SIN/02ORI/02SURTXN/13.8/02SURTXN B2  13.8  B,02SURTXN B2  13.8  B,true,1154926,_235a9e82-3f6e-4928-8c05-e21b2b6c81b2,BusbarSection
_6ffd9f00-a8b5-401d-b75e-5db04bbbbc0b,Network/Companies/SIN/02ORI/02SURTXS/115/02SURTXS B1  115   A,02SURTXS B1  115   A,true,1155237,_e708b7b7-a521-4860-be0b-e458bfef692d,BusbarSection
_a6e9ca31-ca26-49a4-9bf6-aa5450300493,Network/Companies/SIN/02ORI/02SURTXS/115/02SURTXS BT  115   B,02SURTXS BT  115   B,true,1155239,_e708b7b7-a521-4860-be0b-e458bfef692d,BusbarSection
_5f0cecdf-e104-4c95-ba8c-ad22a7f7922c,Network/Companies/SIN/02ORI/02SURTXS/13.8/02SURTXS B1  13.8  A,02SURTXS B1  13.8  A,true,1155315,_50a287c3-02f2-434a-ae9f-3bba3d97df4c,BusbarSection
_ebdc9339-5108-481b-9b8f-18bc698d9683,Network/Companies/SIN/02ORI/02SURVFD/115/02SURVFD B1  115   A,02SURVFD B1  115   A,true,1155483,_8bfbc39a-a6c1-40fa-8681-42625b5e3129,BusbarSection
_fd192e91-5496-4c49-ac85-e06be66a7b6a,Network/Companies/SIN/02ORI/02SURVFD/13.8/02SURVFD B1  13.8  A,02SURVFD B1  13.8  A,true,1155515,_26af1812-4f01-4c18-9b91-f3ea6d49ebcc,BusbarSection
_cb723f0f-7b56-4b51-bfdf-87d67367b41f,Network/Companies/SIN/02ORI/02SURVFD/13.8/02SURVFD B2  13.8  B,02SURVFD B2  13.8  B,true,1155517,_26af1812-4f01-4c18-9b91-f3ea6d49ebcc,BusbarSection
_5ed56c78-0070-4325-9376-0cd730551b41,Network/Companies/SIN/02ORI/02SURVHC/115/02SURVHC B1  115   A,02SURVHC B1  115   A,true,1155807,_3f44e163-bd21-4b41-ac8b-ccaabf313d92,BusbarSection
_04f53a6d-03ac-4f95-80c0-3a342183aefd,Network/Companies/SIN/02ORI/02SURVHC/115/02SURVHC B2  115   B,02SURVHC B2  115   B,true,1155809,_3f44e163-bd21-4b41-ac8b-ccaabf313d92,BusbarSection
_7ef97008-fe19-4c92-a089-e94ccb7c3517,Network/Companies/SIN/02ORI/02SURVHC/13.8/02SURVHC B1  13.8  A,02SURVHC B1  13.8  A,true,1155844,_dbe151ce-8e99-40bb-a39e-20a38cbf2725,BusbarSection
_632e3023-c401-49db-a6c2-575be9932b28,Network/Companies/SIN/02ORI/02SURVHN/115/02SURVHN B1  115   A,02SURVHN B1  115   A,true,1156002,_66a48410-0fbe-42af-8041-8b4c2a33b526,BusbarSection
_18cf0cc5-2152-41c0-9686-c710e4158024,Network/Companies/SIN/02ORI/02SURVHN/115/02SURVHN BT  115   B,02SURVHN BT  115   B,true,1156004,_66a48410-0fbe-42af-8041-8b4c2a33b526,BusbarSection
_3f9f91b1-65c5-4985-be16-8cffe3749775,Network/Companies/SIN/02ORI/02SURVHN/230/02SURVHN B1  230   A,02SURVHN B1  230   A,true,1156104,_2d9cf414-05a4-4940-b6ef-0c6ea9f9ff10,BusbarSection
_e5d7a70f-d99a-42f6-92e3-9fdcbafbf179,Network/Companies/SIN/02ORI/02SURVHN/230/02SURVHN BT  230   B,02SURVHN BT  230   B,true,1156106,_2d9cf414-05a4-4940-b6ef-0c6ea9f9ff10,BusbarSection
_c5d9ab30-fa79-487b-a39a-c0411b4f4af1,Network/Companies/SIN/02ORI/02SURVID/115/02SURVID B1  115   A,02SURVID B1  115   A,true,1156268,_851cc7ff-ac66-4089-998b-8ceb2a69c87b,BusbarSection
_b3035462-bdc1-4e38-9560-7618951b393e,Network/Companies/SIN/02ORI/02SURVID/115/02SURVID BT  115   B,02SURVID BT  115   B,true,1156270,_851cc7ff-ac66-4089-998b-8ceb2a69c87b,BusbarSection
_9589c2fa-72d4-41f2-8199-75378fd06b47,Network/Companies/SIN/02ORI/02SURVID/13.8/02SURVID B1  13.8  A,02SURVID B1  13.8  A,true,1156386,_ce14ec30-bb02-45a9-8796-95d08184c674,BusbarSection
_b89d767a-b7fc-4a18-a273-cfef55072dd5,Network/Companies/SIN/02ORI/02SURVID/13.8/02SURVID B2  13.8  B,02SURVID B2  13.8  B,true,1156388,_ce14ec30-bb02-45a9-8796-95d08184c674,BusbarSection
_b6013932-502f-4efa-9802-6e7d7fe2bfbb,Network/Companies/SIN/02ORI/02SURVID/13.8/02SURVID B3  13.8  C,02SURVID B3  13.8  C,true,1156390,_ce14ec30-bb02-45a9-8796-95d08184c674,BusbarSection
_e20c2980-0365-4c42-94b7-9c925fd166fb,Network/Companies/SIN/02ORI/02SURVIP/115/02SURVIP B1  115   A,02SURVIP B1  115   A,true,1156856,_64225546-5dca-4af4-a236-5e91b99bf0e2,BusbarSection
_5f4b35cc-1e3d-4c4c-badc-6e7bbc3326b4,Network/Companies/SIN/02ORI/02SURVIP/115/02SURVIP B2  115   B,02SURVIP B2  115   B,true,1156858,_64225546-5dca-4af4-a236-5e91b99bf0e2,BusbarSection
