"CurveData:
ID","CurveData:
xAxisData","CurveData:
y1AxisData","CurveData:
y2AxisData","CurveData:
InternalId","CurveData:
Name","CurveData:
Parent","CurveData:
ObjectType"
_d33082e5-4e35-4ffc-8af6-1a3f07469da5,22,-20,30,800232,30,_b3a48d20-06c1-46f3-86ee-3a091d81e66a,CurveData
_28f99397-beaa-4b8e-a5c7-fc2311c33174,33.5,-20,30,800233,40,_b3a48d20-06c1-46f3-86ee-3a091d81e66a,CurveData
_9afe41fe-f629-4e2f-8b2c-5627ea04400f,0,-20,30,800235,0,_29633768-71a9-4fd0-8cc2-91f9b01fae49,CurveData
_e151556b-3b23-4695-96f4-6b069fa41ac5,10,-20,30,800236,10,_29633768-71a9-4fd0-8cc2-91f9b01fae49,CurveData
_1cebda6d-4be2-488c-85be-3879bbbf0216,15,-20,30,800237,20,_29633768-71a9-4fd0-8cc2-91f9b01fae49,CurveData
_2cf32665-ee74-4005-85f6-c6e111409701,22,-20,30,800238,30,_29633768-71a9-4fd0-8cc2-91f9b01fae49,CurveData
_6602c1ed-ad42-496a-a0ba-5d533113d5b5,33.5,-20,30,800239,40,_29633768-71a9-4fd0-8cc2-91f9b01fae49,CurveData
_17251505-4639-416b-9afb-4f3ee44fb9d6,0,-30,30,802382,0,_706de9f1-36d3-4ea8-bdca-da7bc79d20c2,CurveData
_974c9370-530d-4489-8063-fb0bfc2937fa,45,-30,30,802383,10,_706de9f1-36d3-4ea8-bdca-da7bc79d20c2,CurveData
_19858d1e-576f-4457-95fc-5fbd9ec83afe,90,-30,30,802384,20,_706de9f1-36d3-4ea8-bdca-da7bc79d20c2,CurveData
_a7e4b716-0618-4204-94ba-ef912ea8fde8,135,-30,30,802385,30,_706de9f1-36d3-4ea8-bdca-da7bc79d20c2,CurveData
_116de74f-b99f-4811-8377-c9dd1a86b479,200,-30,30,802386,40,_706de9f1-36d3-4ea8-bdca-da7bc79d20c2,CurveData
_29c4ab60-4d1a-46a4-a17d-11cac4974e6d,0,-30,30,802388,0,_718d032e-f8a3-4c4c-b461-5d650c7fdf50,CurveData
_735837ec-b1f6-4b73-8546-1870329e014c,45,-30,30,802389,10,_718d032e-f8a3-4c4c-b461-5d650c7fdf50,CurveData
_3d90fa89-80af-482c-b49d-30ccc3b13974,90,-30,30,802390,20,_718d032e-f8a3-4c4c-b461-5d650c7fdf50,CurveData
_a934a0de-86f4-487d-a6ba-acab127b19f8,135,-30,30,802391,30,_718d032e-f8a3-4c4c-b461-5d650c7fdf50,CurveData
_30db7b78-0f9b-4e93-b4e2-222ab380e412,200,-30,30,802392,40,_718d032e-f8a3-4c4c-b461-5d650c7fdf50,CurveData
_523a0ffb-3adf-46f2-83b9-e8bd16267b32,0,-30,30,802394,0,_3256f148-d67c-4177-81b6-ca74549590cc,CurveData
_00a56159-2bf7-4b29-85ab-a4089081acab,45,-30,30,802395,10,_3256f148-d67c-4177-81b6-ca74549590cc,CurveData
_1abbfd5f-4590-4f5d-9938-7e3015b9dd44,90,-30,30,802396,20,_3256f148-d67c-4177-81b6-ca74549590cc,CurveData
_4b1c48c2-1794-468e-804a-268cf41572d0,135,-30,30,802397,30,_3256f148-d67c-4177-81b6-ca74549590cc,CurveData
_b0f11455-1db3-495e-9f10-30183f5e919e,200,-30,30,802398,40,_3256f148-d67c-4177-81b6-ca74549590cc,CurveData
_7bab35f0-d003-4c99-85ee-5ab27a3813a8,0,-30,30,802400,0,_c741619e-7b3e-4ed8-a621-00b97dc2f33f,CurveData
_b2553fd4-9322-4ce9-8f1c-b33c21124b32,45,-30,30,802401,10,_c741619e-7b3e-4ed8-a621-00b97dc2f33f,CurveData
_fa3cbbff-f955-41c0-a74c-65ad259d3f79,90,-30,30,802402,20,_c741619e-7b3e-4ed8-a621-00b97dc2f33f,CurveData
_c8257e03-1538-4b9f-a373-99fede402cf5,135,-30,30,802403,30,_c741619e-7b3e-4ed8-a621-00b97dc2f33f,CurveData
_8f5fefa0-69d4-46aa-83bb-348cf7987c85,200,-30,30,802404,40,_c741619e-7b3e-4ed8-a621-00b97dc2f33f,CurveData
_2c0a9c1f-b700-4680-8968-446384e33c72,0,-30,30,802406,0,_8f4c91a4-bf4c-4f19-9358-1b3fb1ce4fd4,CurveData
_832b874a-d92b-40a3-b8be-04b1c0b87429,45,-30,30,802407,10,_8f4c91a4-bf4c-4f19-9358-1b3fb1ce4fd4,CurveData
_2dff70ea-4c8d-4504-9dfb-8293d09ac7b7,90,-30,30,802408,20,_8f4c91a4-bf4c-4f19-9358-1b3fb1ce4fd4,CurveData
_895983aa-a188-4ba8-a089-cdd0d6ed4056,135,-30,30,802409,30,_8f4c91a4-bf4c-4f19-9358-1b3fb1ce4fd4,CurveData
_923ad1ec-4fed-47b2-9d7b-d3498e8e4e8a,200,-30,30,802410,40,_8f4c91a4-bf4c-4f19-9358-1b3fb1ce4fd4,CurveData
_84f97a1c-2844-4691-a815-eb5c9070e8ee,0,-30,30,802412,0,_e8956573-74fd-4641-8655-4547fec28115,CurveData
_448713b8-e630-4cd0-86a4-7e44b685381c,45,-30,30,802413,10,_e8956573-74fd-4641-8655-4547fec28115,CurveData
_db4346f8-71fb-4b4d-acd8-c1304abce49b,90,-30,30,802414,20,_e8956573-74fd-4641-8655-4547fec28115,CurveData
_d2477a3f-b324-4913-a1e2-b04d749af871,135,-30,30,802415,30,_e8956573-74fd-4641-8655-4547fec28115,CurveData
_8e0edd57-88df-4aef-a76c-aac949e7740e,200,-30,30,802416,40,_e8956573-74fd-4641-8655-4547fec28115,CurveData
_c152b23b-2ed7-42fd-907b-49b408e2d1c4,0,0,0,804351,0,_b787a441-d91c-4df7-a018-c29d3395c1e2,CurveData
_1a0e471f-c312-46d3-97d3-009608f67307,5,0,0,804352,10,_b787a441-d91c-4df7-a018-c29d3395c1e2,CurveData
_3707435e-c9e9-4eee-a78c-41fb606dd6f5,10,0,0,804353,20,_b787a441-d91c-4df7-a018-c29d3395c1e2,CurveData
_99dc3e2f-892b-47ba-a39b-0a9b584669ea,15,0,0,804354,30,_b787a441-d91c-4df7-a018-c29d3395c1e2,CurveData
_41319f32-a99b-4297-bce2-8622418a18b9,20,0,0,804355,40,_b787a441-d91c-4df7-a018-c29d3395c1e2,CurveData
_1b6bfc61-fba9-49b4-8085-a3b2bc2aa20c,0,-10,20,805475,0,_ec9716f3-48bf-44b4-9221-698338d713ef,CurveData
_1b513252-93d0-4e90-805c-703b48c8ddea,7,-10,20,805476,10,_ec9716f3-48bf-44b4-9221-698338d713ef,CurveData
_5c61d555-614b-46ca-a11c-3225938c22c7,14,-10,20,805477,20,_ec9716f3-48bf-44b4-9221-698338d713ef,CurveData
_3964a0e1-0c0c-4293-a0bd-0cd7302f779f,23,-10,20,805478,30,_ec9716f3-48bf-44b4-9221-698338d713ef,CurveData
_802be97a-e769-4d13-ac80-7450a394028b,32,-10,20,805479,40,_ec9716f3-48bf-44b4-9221-698338d713ef,CurveData
_842fe3b2-86b7-47c2-a6c7-0d3cdb787dd5,0,-6.0999999999999996,32,810429,0,_68d8c75b-f8b1-497c-83e5-dd83e88abb61,CurveData
_d448eecb-fba3-4434-831c-9ed111f9d48a,10,-6.0999999999999996,32,810430,10,_68d8c75b-f8b1-497c-83e5-dd83e88abb61,CurveData
_b8c9fcdd-8601-4099-80b7-1b1169d3e879,15,-6.0999999999999996,32,810431,20,_68d8c75b-f8b1-497c-83e5-dd83e88abb61,CurveData
_42c31df9-b81b-4deb-b096-ab13d52a5f95,22,-3,26.5,810432,30,_68d8c75b-f8b1-497c-83e5-dd83e88abb61,CurveData
_6e892b84-fa15-4a70-9773-26cd419d30fa,32,0,21,810433,40,_68d8c75b-f8b1-497c-83e5-dd83e88abb61,CurveData
_7919fdec-2175-4e68-9e55-db4295d6ec9c,0,-6.5,38.100000000000001,810435,0,_acb55074-5f53-4331-9960-30e31f039e70,CurveData
_1f91a50e-9783-4176-8bb8-2abfbf6b326f,10,-6.5,38.100000000000001,810436,10,_acb55074-5f53-4331-9960-30e31f039e70,CurveData
_619f4714-0b47-4972-828a-fe8afbd1f51c,15,-6.5,38.100000000000001,810437,20,_acb55074-5f53-4331-9960-30e31f039e70,CurveData
_dbc358ef-0ef6-44a6-be88-6493d5053ede,22,-3,30.100000000000001,810438,30,_acb55074-5f53-4331-9960-30e31f039e70,CurveData
