"BusbarSection:
ID","BusbarSection:
Name","BusbarSection:
ctcpRegion","BusbarSection:
NAFlag","BusbarSection:
InternalId","BusbarSection:
Parent","BusbarSection:
ObjectType","MarketLoadZone:
Path","MarketLoadZone:
InternalId","MarketLoadZone:
Name","BusbarSection:
BusbarSectionAssignedToMarketLoadZone:
MarketLoadZone:
ID","MarketLoadZone:
Parent","MarketLoadZone:
ObjectType"
_bf18ea91-d17e-472c-945d-b6997c28cf1e,01   AUR B2  85   B,10,true,764181,_a2907d01-da84-4fe1-a358-bd529a701ae6,BusbarSection,MMS/VALLE DE MEXICO CENT,38174505,VALLE DE MEXICO CENT,_49979ab7-e7fd-477e-b46b-fc05a6c5aff6,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_fbdc89da-86ae-48a8-b685-1db5ce162d46,01   AUR B1 230   A,10,true,764320,_7a5c49e4-ed25-4cdb-8c3a-615b82feb3fb,BusbarSection,MMS/VALLE DE MEXICO CENT,38174505,VALLE DE MEXICO CENT,_49979ab7-e7fd-477e-b46b-fc05a6c5aff6,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_c02488b7-65ea-48d2-8c45-9bb915ef1542,01   AUR B2 230   B,10,true,764322,_7a5c49e4-ed25-4cdb-8c3a-615b82feb3fb,BusbarSection,MMS/VALLE DE MEXICO CENT,38174505,VALLE DE MEXICO CENT,_49979ab7-e7fd-477e-b46b-fc05a6c5aff6,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_85b3a0ef-b9ca-4b10-8183-19a09d294b81,01   AUR B1  23   A,10,true,764499,_38bcbf52-ac4d-49c9-9fa0-810225c44d02,BusbarSection,MMS/VALLE DE MEXICO CENT,38174505,VALLE DE MEXICO CENT,_49979ab7-e7fd-477e-b46b-fc05a6c5aff6,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_50f30278-91fa-45b5-b202-8d530a10f196,01   AUR B2  23   B,10,true,764501,_38bcbf52-ac4d-49c9-9fa0-810225c44d02,BusbarSection,MMS/VALLE DE MEXICO CENT,38174505,VALLE DE MEXICO CENT,_49979ab7-e7fd-477e-b46b-fc05a6c5aff6,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_414612b7-42a9-4bc9-8a5f-542480ed04bb,01   AUR B3  23   C,10,true,764503,_38bcbf52-ac4d-49c9-9fa0-810225c44d02,BusbarSection,MMS/VALLE DE MEXICO CENT,38174505,VALLE DE MEXICO CENT,_49979ab7-e7fd-477e-b46b-fc05a6c5aff6,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_a5fe540e-e6e2-4fb8-a601-cbdd537d6e9d,01   AYO B1  85    A,10,true,765010,_5d36e997-9e87-455b-b684-066a55e5f4bd,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_900e4222-0586-425c-bb99-23f62a451706,01   AYO B2  85    B,10,true,765012,_5d36e997-9e87-455b-b684-066a55e5f4bd,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_280cb6da-5d81-408f-b53c-11f2babf6485,01   AYO B1  230   A,10,true,765131,_7887f674-89b3-4c0e-a153-49cfdf54db3c,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_643d41ae-16c2-46a5-a97b-d5da988a7ac8,01   AYO B2  230   B,10,true,765133,_7887f674-89b3-4c0e-a153-49cfdf54db3c,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_cd554c34-3726-461f-bdc8-069f84611c85,01   AYO BD  23    a_,10,true,765253,_ed8f8bfa-ffb9-4672-b107-b03ada6b2986,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_315982fd-4de2-4dbb-8463-b5193cdf5d07,01   AYO BD  23    b_,10,true,765255,_ed8f8bfa-ffb9-4672-b107-b03ada6b2986,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_240fc4da-0cf0-4da8-aa18-0ab637450807,01   AYO BD  23    c_,10,true,765257,_ed8f8bfa-ffb9-4672-b107-b03ada6b2986,BusbarSection,MMS/VALLE DE MEXICO SUR,38174506,VALLE DE MEXICO SUR,_7ae51acf-c8c1-48d7-8acc-2631edeba613,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_0e51b70d-481d-4f7d-bacc-02b31f5a4faf,01   AZC B1 230   1,10,true,765733,_2d657efc-bbe3-4ad9-8636-4931d34db97c,BusbarSection,MMS/VALLE DE MEXICO NORT,38174504,VALLE DE MEXICO NORT,_d4368ad5-3206-4aec-aafd-4f7f2ca4aada,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_2c5e836d-6ece-410c-9653-153c44e1ab20,01   AZC B2 230   2,10,true,765735,_2d657efc-bbe3-4ad9-8636-4931d34db97c,BusbarSection,MMS/VALLE DE MEXICO NORT,38174504,VALLE DE MEXICO NORT,_d4368ad5-3206-4aec-aafd-4f7f2ca4aada,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_4f024ae7-4756-46b0-b998-e1d07f12468a,01   BAR B1  85    A,10,true,766248,_59c6aca2-7896-4dc0-973e-65695343f8a1,BusbarSection,MMS/VALLE DE MEXICO NORT,38174504,VALLE DE MEXICO NORT,_d4368ad5-3206-4aec-aafd-4f7f2ca4aada,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_076284b0-cf42-4ede-b578-c1a7c2ebe703,01   BAR B2  85    B,10,true,766250,_59c6aca2-7896-4dc0-973e-65695343f8a1,BusbarSection,MMS/VALLE DE MEXICO NORT,38174504,VALLE DE MEXICO NORT,_d4368ad5-3206-4aec-aafd-4f7f2ca4aada,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_4b7abed3-63c1-497e-b91f-9429077d49ed,01   BBV B1  230   A,10,true,766606,_17a191bf-2cc0-42ef-9dd5-fa9fbb4f09bd,BusbarSection,MMS/VALLE DE MEXICO NORT,38174504,VALLE DE MEXICO NORT,_d4368ad5-3206-4aec-aafd-4f7f2ca4aada,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
_69c5c2ca-2657-4fb2-aa6f-9b065b9fa3ce,01   BDK B1  85    A,10,true,766885,_0917256a-76a0-4b9c-8708-ab18a961b79a,BusbarSection,MMS/VALLE DE MEXICO NORT,38174504,VALLE DE MEXICO NORT,_d4368ad5-3206-4aec-aafd-4f7f2ca4aada,_168aa1db-d855-47d3-b2d1-07242cc6e29a,MarketLoadZone
