"SynchronousMachine:
ID","SynchronousMachine:
InternalId","SynchronousMachine:
Name","SynchronousMachine:
Parent","SynchronousMachine:
ObjectType","GeneratingUnit:
Path","GeneratingUnit:
InternalId","GeneratingUnit:
Name","SynchronousMachine:
SynchronousMachineMemberOfGeneratingUnit:
GeneratingUnit:
ID","GeneratingUnit:
Parent","GeneratingUnit:
ObjectType"
_b0cb8c30-eb50-468c-8789-65ccdce609fb,805113,UN-01,_28f54f20-34ce-460e-ba9b-229683b7fdf7,SynchronousMachine,Network/.Generation/01IZTAPALAPA/01IZT-U1 Unit,2102687,01IZT-U1 Unit,_d29b34fc-00a1-4aec-8fa3-90c395dd403d,_0554aadf-2aa8-4fc5-9096-778b924f9002,ThermalGeneratingUnit
_263d55b6-0530-4d8c-bde7-0142b72ae216,810218,UN-01,_d3cfddc8-69c9-4edd-9654-dff0a6523a64,SynchronousMachine,Network/.Generation/01JORGE LUQUE/01JOL-U1 Unit,2102705,01JOL-U1 Unit,_1ba05e4a-c580-4e4e-a824-b26fc8ed9cbb,_dc615814-0767-4405-b7c1-756321277979,ThermalGeneratingUnit
_c46467e3-ee24-45ab-ab57-133d071dac81,810220,UN-02,_d3cfddc8-69c9-4edd-9654-dff0a6523a64,SynchronousMachine,Network/.Generation/01JORGE LUQUE/01JOL-U2 Unit,2102718,01JOL-U2 Unit,_15137dea-8e26-4299-823b-bb2bf8300981,_dc615814-0767-4405-b7c1-756321277979,ThermalGeneratingUnit
_07e27155-0a35-49f6-9bf9-6cffba6d2a02,810222,UN-03,_d3cfddc8-69c9-4edd-9654-dff0a6523a64,SynchronousMachine,Network/.Generation/01JORGE LUQUE/01JOL-U3 Unit,2102731,01JOL-U3 Unit,_eff123e3-5880-4130-b976-18a0192c09f5,_dc615814-0767-4405-b7c1-756321277979,ThermalGeneratingUnit
_e6c2ab9f-2f59-4cee-a9e1-7c2747b8106c,810224,UN-04,_d3cfddc8-69c9-4edd-9654-dff0a6523a64,SynchronousMachine,Network/.Generation/01JORGE LUQUE/01JOL-U4 Unit,2102744,01JOL-U4 Unit,_cf8510ef-fdbd-40c9-b0d1-40b8b8978042,_dc615814-0767-4405-b7c1-756321277979,ThermalGeneratingUnit
_00e92b95-64f4-4152-97f4-e51e832ef042,815531,UN-01,_78515f02-d909-4505-9872-edea44932c2b,SynchronousMachine,Network/.Generation/01LECHERIA/01LEC-U1 Unit,2102762,01LEC-U1 Unit,_16c1abaa-2448-4e73-944e-4dee92f92201,_e72b98d2-3f75-4159-8924-030a08fd0b7b,ThermalGeneratingUnit
_845a7f51-793c-45c4-b25e-528f617b21e0,815533,UN-02,_78515f02-d909-4505-9872-edea44932c2b,SynchronousMachine,Network/.Generation/01LECHERIA/01LEC-U2 Unit,2102775,01LEC-U2 Unit,_897f950a-92a0-447d-a6fe-960dc586c8a5,_e72b98d2-3f75-4159-8924-030a08fd0b7b,ThermalGeneratingUnit
_993d2a66-d225-4834-a21b-57a4f27f976a,815535,UN-03,_78515f02-d909-4505-9872-edea44932c2b,SynchronousMachine,Network/.Generation/01LECHERIA/01LEC-U3 Unit,2102788,01LEC-U3 Unit,_696b5fff-7ec9-404c-86cf-569db983f038,_e72b98d2-3f75-4159-8924-030a08fd0b7b,ThermalGeneratingUnit
_3dec41d4-b290-4461-89d8-d857850d0568,815537,UN-04,_78515f02-d909-4505-9872-edea44932c2b,SynchronousMachine,Network/.Generation/01LECHERIA/01LEC-U4 Unit,2102801,01LEC-U4 Unit,_b02ab069-b826-46c2-82d3-2255258e1eaa,_e72b98d2-3f75-4159-8924-030a08fd0b7b,ThermalGeneratingUnit
_9bcdeb79-950a-480c-8870-d8260528d778,819217,UN-01,_e5eb5309-0aca-449b-949e-b4e32b69690d,SynchronousMachine,Network/.Generation/01MAGDALENA/01MAG-U1 Unit,2102816,01MAG-U1 Unit,_40a9a66f-9f81-4894-9b8b-d83ca64bccd0,_85e7001f-b4ec-4432-98aa-3c0ace9c7a2a,ThermalGeneratingUnit
_37dbd381-1979-437d-b380-1b12d32239b3,825438,UN-01,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine,Network/.Generation/01NECAXA/01NEC-U1 Unit,2102281,01NEC-U1 Unit,_4cf30b9f-658e-42fb-b4a2-24d253a368e6,_fc68ccf7-ba6a-462d-9e70-e53693cb7b71,HydroGeneratingUnit
_1bd07f7d-5ecd-4cd7-850b-2c425a0e1a87,825440,UN-10,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine,Network/.Generation/01NECAXA/01NEC-U10 Unit,2102282,01NEC-U10 Unit,_029a2395-011e-4ee9-b40b-a5b4f1303e24,_fc68ccf7-ba6a-462d-9e70-e53693cb7b71,HydroGeneratingUnit
_daf584b6-9ae1-4dbc-83a2-53cef1d47762,825442,UN-02,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine,Network/.Generation/01NECAXA/01NEC-U2 Unit,2102283,01NEC-U2 Unit,_19b13f73-fac3-4f47-98c0-61caa0abaf39,_fc68ccf7-ba6a-462d-9e70-e53693cb7b71,HydroGeneratingUnit
_e03acaea-962a-4d8a-b987-4e9f370fa57b,825444,UN-03,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine,Network/.Generation/01NECAXA/01NEC-U3 Unit,2102284,01NEC-U3 Unit,_78573093-8844-4e7b-afea-44914edc3c70,_fc68ccf7-ba6a-462d-9e70-e53693cb7b71,HydroGeneratingUnit
_4ff7a647-3388-46fc-97cc-91833a0ea32b,825446,UN-04,_3c81d298-e9c2-464e-b794-0392c0600a37,SynchronousMachine,Network/.Generation/01NECAXA/01NEC-U4 Unit,2102285,01NEC-U4 Unit,_4e614c03-ee0a-4a08-91e4-a022022cd0b6,_fc68ccf7-ba6a-462d-9e70-e53693cb7b71,HydroGeneratingUnit
