"ReactiveCapabilityCurve:
ID","ReactiveCapabilityCurve:
InternalId","ReactiveCapabilityCurve:
Name","ReactiveCapabilityCurve:
Parent","ReactiveCapabilityCurve:
ObjectType","SynchronousMachine:
Path","SynchronousMachine:
InternalId","SynchronousMachine:
Name","ReactiveCapabilityCurve:
SynchronousMachineHasDefaultReactiveCapabilityCurve:
SynchronousMachine:
ID","SynchronousMachine:
Parent","SynchronousMachine:
ObjectType"
_ba64e9a5-c19c-4f14-a0f0-a305bcd1bc20,1448671,04TBT-PTA,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   TBT/18/UNPTA,1448443,UNPTA,_f1ad50a5-08e2-48de-80aa-0a74d598d7f7,_21b1641f-7adc-4bcb-b468-56931175152e,SynchronousMachine
_6f12a5a7-211a-42f3-a7f6-b59a75020917,1448677,04TBT-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   TBT/18/UN-01,1448445,UN-01,_6729dbe9-b18d-4045-94b0-2446e3fbb445,_21b1641f-7adc-4bcb-b468-56931175152e,SynchronousMachine
_a3719f3b-798e-4a7b-8feb-03c43f9e5e57,1448683,04TBT-U2,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   TBT/18/UN-02,1448447,UN-02,_276568bd-e4e5-4469-840e-905cb2607ddd,_21b1641f-7adc-4bcb-b468-56931175152e,SynchronousMachine
_6711367d-2bcb-4136-83cb-5b9f98a79d71,1448689,04TBT-U3,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   TBT/18/UN-03,1448449,UN-03,_cce2edf6-384f-413f-bd6c-8ffc9e4452a5,_21b1641f-7adc-4bcb-b468-56931175152e,SynchronousMachine
_96928942-666d-44c0-af0a-8596d86551f2,1450361,04SLA-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   SLA/6.9/UN-01,1450287,UN-01,_0b025ce6-d87e-40f3-83e8-0a2acf3230af,_23d6d0d3-cfd4-4c15-a0cf-7f95d1d35415,SynchronousMachine
_bae4066f-df80-4205-8dda-8519daa447d7,1450367,04SLA-U2,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   SLA/6.9/UN-02,1450289,UN-02,_010f3c26-6dce-4ce3-9f46-8a13e3891b41,_23d6d0d3-cfd4-4c15-a0cf-7f95d1d35415,SynchronousMachine
_f94a974d-68f1-47cf-b893-93a688207242,1452515,04PSU-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   PSU/34.5/UN-01,1452440,UN-01,_24b135d6-1af5-469a-b16b-c31d5d6ff22f,_37da7e94-e7ec-4c67-89bd-680fdefc04a1,SynchronousMachine
_ddd2e72d-cf44-4050-b57d-f13a90d21112,1454343,04PLD-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   PLD/15/UN-01,1453604,UN-01,_c903ab60-0562-43d0-bc4d-2999124c0450,_8fd2f50f-1896-48da-910a-de5dc9bb0811,SynchronousMachine
_81faf625-3587-423c-92ec-4f807d1e83b1,1454349,04PLD-U2,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   PLD/15/UN-02,1453606,UN-02,_cd92f8c7-6934-4c52-a5af-c0904084c8e7,_8fd2f50f-1896-48da-910a-de5dc9bb0811,SynchronousMachine
_9cd6e8aa-74f3-488a-b919-b3fccaf9bd97,1454355,04PLD-U3,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   PLD/15/UN-03,1453608,UN-03,_243f14f6-5a1f-4f4a-987a-9839228aaffc,_8fd2f50f-1896-48da-910a-de5dc9bb0811,SynchronousMachine
