"TransformerWinding:
ObjectType","TransformerWinding:
ID","TransformerWinding:
Path","TransformerWinding:
Name","TransformerWinding:
b_pu","TransformerWinding:
r_pu","TransformerWinding:
x_pu","TransformerWinding:
InternalId","TransformerWinding:
Parent"
TransformerWinding,_ac0d087d-7693-4e3d-91b8-756b4c09f1f7,Network/Companies/SIN/01CEL/01   AUR/01AUR T02 230\85/Alta,Alta,0,0,0.17460000000000001,764542,_bde0a170-ff23-4e8a-af76-f01b16cc4737
TransformerWinding,_cddecc3b-ef8c-4bca-b139-3b8edc82abe8,Network/Companies/SIN/01CEL/01   AUR/01AUR T02 230\85/Baja,Baja,0,,,764544,_bde0a170-ff23-4e8a-af76-f01b16cc4737
TransformerWinding,_ca362289-c470-4cd4-8454-a07f37d5eaff,Network/Companies/SIN/01CEL/01   AUR/01AUR T03 230\85/Alta,Alta,0,0,0.17460000000000001,764548,_410bd112-0751-472d-b064-84f39e631777
TransformerWinding,_b34025e1-2bac-4583-b784-4129c0338bec,Network/Companies/SIN/01CEL/01   AUR/01AUR T03 230\85/Baja,Baja,0,,,764550,_410bd112-0751-472d-b064-84f39e631777
TransformerWinding,_aec35022-dbb8-447f-a9b9-ff85c533358b,Network/Companies/SIN/01CEL/01   AUR/01AUR T04 230\23/Alta,Alta,0,0.0074999999999999997,0.28441,764554,_6d710a78-4ae8-4f33-842b-034926719c3a
TransformerWinding,_48e948f9-274c-4955-9421-1447bc00b3ea,Network/Companies/SIN/01CEL/01   AUR/01AUR T04 230\23/Baja,Baja,0,,,764556,_6d710a78-4ae8-4f33-842b-034926719c3a
TransformerWinding,_c2a9c68f-065f-4311-89a6-59e98b23724f,Network/Companies/SIN/01CEL/01   AUR/01AUR T05 230\23/Alta,Alta,0,0.0074999999999999997,0.26273999999999997,764560,_799bd62a-fe54-4343-b7b1-e233c0b67d9e
TransformerWinding,_fc65f3b9-8b70-495c-837a-b3593ad067da,Network/Companies/SIN/01CEL/01   AUR/01AUR T05 230\23/Baja,Baja,0,,,764562,_799bd62a-fe54-4343-b7b1-e233c0b67d9e
TransformerWinding,_7f6b2b27-476d-42aa-aeb4-c730f0f50762,Network/Companies/SIN/01CEL/01   AUR/01AUR T06 230\23/Alta,Alta,0,0.0074999999999999997,0.31,764566,_1ef87ecd-28b5-4814-9dc2-4b67190680d1
TransformerWinding,_6752f743-835e-4bec-94d8-3ae9c5d171b6,Network/Companies/SIN/01CEL/01   AUR/01AUR T06 230\23/Baja,Baja,0,,,764568,_1ef87ecd-28b5-4814-9dc2-4b67190680d1
TransformerWinding,_9b0ad7ee-b881-465a-a86d-e50cd6d7dfb9,Network/Companies/SIN/01CEL/01   AYO/01AYO T01 230\23/Alta,Alta,0,0.0074999999999999997,0.2606,765290,_9301b5a0-d142-4971-906e-48d38702f066
TransformerWinding,_781aa27f-73ec-4a16-b347-f0ff4d3f592a,Network/Companies/SIN/01CEL/01   AYO/01AYO T01 230\23/Baja,Baja,0,,,765292,_9301b5a0-d142-4971-906e-48d38702f066
TransformerWinding,_e36f5b7c-c1ce-45ce-a547-4234d497b2ad,Network/Companies/SIN/01CEL/01   AYO/01AYO T02 230\23/Alta,Alta,0,0.0074999999999999997,0.29064000000000001,765296,_8aec1176-72e7-459f-9346-2e02e263e3c9
TransformerWinding,_740b320d-e43d-4bac-8cc6-2f3dbe554ac1,Network/Companies/SIN/01CEL/01   AYO/01AYO T02 230\23/Baja,Baja,0,,,765298,_8aec1176-72e7-459f-9346-2e02e263e3c9
TransformerWinding,_f12c9aab-bc2d-4587-9e70-03357bb72e30,Network/Companies/SIN/01CEL/01   AYO/01AYO T03 230\23/Alta,Alta,0,0.0074999999999999997,0.32250000000000001,765302,_a20a2628-fd3b-4e98-b224-cb1fb52c95c7
TransformerWinding,_8b6f1bc1-1909-4577-9c47-9b91dfa3fff5,Network/Companies/SIN/01CEL/01   AYO/01AYO T03 230\23/Baja,Baja,0,,,765304,_a20a2628-fd3b-4e98-b224-cb1fb52c95c7
TransformerWinding,_45f98e73-be89-4eea-9dd2-22887e1ed66b,Network/Companies/SIN/01CEL/01   AYO/01AYO T04 230\85/Alta,Alta,0,0,0.1643,765308,_9ba5aef0-a5d1-4607-b454-30f62d867a0f
TransformerWinding,_d71fa6ba-cbb5-4c75-8e23-c695d1f34fff,Network/Companies/SIN/01CEL/01   AYO/01AYO T04 230\85/Baja,Baja,0,,,765310,_9ba5aef0-a5d1-4607-b454-30f62d867a0f
TransformerWinding,_62733f17-b440-4c6b-a332-d83b940cb152,Network/Companies/SIN/01CEL/01   AYO/01AYO T05 230\85/Alta,Alta,0,0,0.1678,765314,_1c773768-fe0d-43cf-860d-140d713dafc6
TransformerWinding,_39dce2b6-9560-4ccc-a2b5-31bef373e14f,Network/Companies/SIN/01CEL/01   AYO/01AYO T05 230\85/Baja,Baja,0,,,765316,_1c773768-fe0d-43cf-860d-140d713dafc6
TransformerWinding,_8f47e3da-3ea8-4dfc-b12e-0eb2dd0ee646,Network/Companies/SIN/01CEL/01   AZC/01AZC T01 230\23/Alta,Alta,0,0.0074999999999999997,0.27112999999999998,765859,_d8bede7e-79a3-47a1-90d6-6525153ed23e
TransformerWinding,_91bd23db-6b50-437d-ba86-d998ea4b5a68,Network/Companies/SIN/01CEL/01   AZC/01AZC T01 230\23/Baja,Baja,0,,,765861,_d8bede7e-79a3-47a1-90d6-6525153ed23e
TransformerWinding,_61eb8d18-3465-4ee8-9cc9-47872776eec6,Network/Companies/SIN/01CEL/01   AZC/01AZC T02 230\23/Alta,Alta,0,0.0074999999999999997,0.27250000000000002,765865,_225981b3-2f75-48f2-9edf-b505a19d4afc
TransformerWinding,_bf6372a4-f9da-45d1-bb99-b16f705c21a3,Network/Companies/SIN/01CEL/01   AZC/01AZC T02 230\23/Baja,Baja,0,,,765867,_225981b3-2f75-48f2-9edf-b505a19d4afc
TransformerWinding,_0483a72a-5383-440e-93a5-c8b8d66bb2bd,Network/Companies/SIN/01CEL/01   AZC/01AZC T03 230\23/Alta,Alta,0,0.0074999999999999997,0.27250000000000002,765871,_e639a0b0-cd62-4e0b-8dca-9b69b4bc6f57
TransformerWinding,_7842cfbc-e40a-463e-8118-da99c996db3a,Network/Companies/SIN/01CEL/01   AZC/01AZC T03 230\23/Baja,Baja,0,,,765873,_e639a0b0-cd62-4e0b-8dca-9b69b4bc6f57
TransformerWinding,_58b77422-4ef9-43ff-8633-fc0e043ccda8,Network/Companies/SIN/01CEL/01   BAR/01BAR T01 85\23/Alta,Alta,0,0,0.44333,766347,_2dcb3c7a-50cd-4de7-bdc2-c4f82ef7d34b
TransformerWinding,_79e5c57f-322c-401d-8beb-2617b5e345ed,Network/Companies/SIN/01CEL/01   BAR/01BAR T01 85\23/Baja,Baja,0,,,766349,_2dcb3c7a-50cd-4de7-bdc2-c4f82ef7d34b
