"ImpedanceVariation:
InternalId","ImpedanceVariation:
ObjectId","ImpedanceVariation:
ID","ImpedanceVariation:
Name","ImpedanceVariation:
Description","ImpedanceVariation:
DeltaIronLossCond","ImpedanceVariation:
DeltaMagnSusc","ImpedanceVariation:
DeltaReactance","ImpedanceVariation:
DeltaResistance","ImpedanceVariation:
TapPosition","ImpedanceVariation:
Parent","ImpedanceVariation:
ObjectType","TapChanger:
InternalId","TapChanger:
Name","ImpedanceVariation:
ImpedanceVariationMemberOfTapChanger:
TapChanger:
ID","TapChanger:
Parent","TapChanger:
ObjectType"
770379,{65a0c779-5b5f-4784-ad63-2bba8c01a895},_65a0c779-5b5f-4784-ad63-2bba8c01a895,ImpedanceVar_7,,0,0,0,0,7,_ad014201-d9e0-4beb-819e-8e8e229cfb38,ImpedanceVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770380,{f1d737a3-e2b4-4c28-9f27-89ca5ef0b437},_f1d737a3-e2b4-4c28-9f27-89ca5ef0b437,ImpedanceVar_8,,0,0,0,0,8,_ad014201-d9e0-4beb-819e-8e8e229cfb38,ImpedanceVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770381,{4e30b302-3331-43f9-ae32-c0a60a4545fe},_4e30b302-3331-43f9-ae32-c0a60a4545fe,ImpedanceVar_9,,0,0,0,0,9,_ad014201-d9e0-4beb-819e-8e8e229cfb38,ImpedanceVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770382,{e62b2ddf-ad3b-4184-a86e-1ac6a4fa4583},_e62b2ddf-ad3b-4184-a86e-1ac6a4fa4583,ImpedanceVar_10,,0,0,0,0,10,_ad014201-d9e0-4beb-819e-8e8e229cfb38,ImpedanceVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770383,{df3e1d30-35ce-473c-82e4-63e8691b5767},_df3e1d30-35ce-473c-82e4-63e8691b5767,ImpedanceVar_11,,0,0,0,0,11,_ad014201-d9e0-4beb-819e-8e8e229cfb38,ImpedanceVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770384,{1ab2c5c1-3015-423c-90fc-0d54c785656e},_1ab2c5c1-3015-423c-90fc-0d54c785656e,ImpedanceVar_12,,0,0,0,0,12,_ad014201-d9e0-4beb-819e-8e8e229cfb38,ImpedanceVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770385,{49c0ba2e-9afc-4cb7-8de2-c22e33cf582e},_49c0ba2e-9afc-4cb7-8de2-c22e33cf582e,ImpedanceVar_13,,0,0,0,0,13,_ad014201-d9e0-4beb-819e-8e8e229cfb38,ImpedanceVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770386,{213a65a9-cf5a-4108-89ef-ef31a5b0fb5e},_213a65a9-cf5a-4108-89ef-ef31a5b0fb5e,ImpedanceVar_14,,0,0,0,0,14,_ad014201-d9e0-4beb-819e-8e8e229cfb38,ImpedanceVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770387,{3aaeace8-c318-4442-a8ca-04d18bff558d},_3aaeace8-c318-4442-a8ca-04d18bff558d,ImpedanceVar_15,,0,0,0,0,15,_ad014201-d9e0-4beb-819e-8e8e229cfb38,ImpedanceVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770388,{958c9d4c-2fa8-44d7-bb7d-dee1f68bdb02},_958c9d4c-2fa8-44d7-bb7d-dee1f68bdb02,ImpedanceVar_16,,0,0,0,0,16,_ad014201-d9e0-4beb-819e-8e8e229cfb38,ImpedanceVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770389,{a87fec72-6184-41f1-ada8-66ae1fce2fd1},_a87fec72-6184-41f1-ada8-66ae1fce2fd1,ImpedanceVar_17,,0,0,0,0,17,_ad014201-d9e0-4beb-819e-8e8e229cfb38,ImpedanceVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770390,{51acad56-c494-4302-9a85-5bbdffe58dbd},_51acad56-c494-4302-9a85-5bbdffe58dbd,ImpedanceVar_18,,0,0,0,0,18,_ad014201-d9e0-4beb-819e-8e8e229cfb38,ImpedanceVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770391,{477cc260-6fed-43f1-9000-c26c860f7b01},_477cc260-6fed-43f1-9000-c26c860f7b01,ImpedanceVar_19,,0,0,0,0,19,_ad014201-d9e0-4beb-819e-8e8e229cfb38,ImpedanceVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
